the_geom,sci_name,entity_id,field_bird_illustration_fid,img_url,cartodb_id,com_name,page_url,img_width,img_height,com_name2
,Corvus ossifragus,803,17141,4541_Sibl_9780307957900_art_r1.jpg,408,Fish Crow,http://www.audubon.org/node/803,2277,1686,Fish Crow
,Catharus bicknelli,488,17151,4553_Sibl_9780307957900_art_r1.jpg,409,Bicknells Thrush,http://www.audubon.org/node/488,2491,1686,Bicknells Thrush
,Catharus minimus,492,17156,4551_Sibl_9780307957900_art_r1.jpg,410,Gray-cheeked Thrush,http://www.audubon.org/node/492,2267,1686,Gray-cheeked Thrush
,Catharus fuscescens,489,17161,4562_Sibl_9780307957900_art_r1.jpg,411,Veery,http://www.audubon.org/node/489,2180,1686,Veery
,Hylocichla mustelina,494,17166,4557_Sibl_9780307957900_art_r1.jpg,412,Wood Thrush,http://www.audubon.org/node/494,1925,1686,Wood Thrush
,Vireo bellii,781,17171,4571_Sibl_9780307957900_art_r1.jpg,413,Bells Vireo,http://www.audubon.org/node/781,2219,1686,Bells Vireo
,Vireo vicinior,793,17176,4575_Sibl_9780307957900_art_r1.jpg,414,Gray Vireo,http://www.audubon.org/node/793,2223,1686,Gray Vireo
,Vireo plumbeus,791,17181,4579_Sibl_9780307957900_art_r1.jpg,415,Plumbeous Vireo,http://www.audubon.org/node/791,2452,1686,Plumbeous Vireo
,Vireo altiloquus,779,17186,4587_Sibl_9780307957900_art_r1.jpg,416,Black-whiskered Vireo,http://www.audubon.org/node/779,2211,1686,Black-whiskered Vireo
,Vireo flavoviridis,784,17191,4583_Sibl_9780307957900_art_r1.jpg,417,Yellow-green Vireo,http://www.audubon.org/node/784,2162,1686,Yellow-green Vireo
,Vireo olivaceus,789,17196,4591_Sibl_9780307957900_art_r1.jpg,418,Red-eyed Vireo,http://www.audubon.org/node/789,2451,1686,Red-eyed Vireo
,Vireo atricapilla,780,17201,4597_Sibl_9780307957900_art_r1.jpg,419,Black-capped Vireo,http://www.audubon.org/node/780,2158,1686,Black-capped Vireo
,Vireo griseus,787,17206,4602_Sibl_9780307957900_art_r1.jpg,420,White-eyed Vireo,http://www.audubon.org/node/787,2101,1686,White-eyed Vireo
,Lanius ludovicianus,778,17211,4619_Sibl_9780307957900_art_r1.jpg,421,Loggerhead Shrike,http://www.audubon.org/node/778,2409,1686,Loggerhead Shrike
,Lanius borealis,777,17216,4610_Sibl_9780307957900_art_r1.jpg,422,Northern Shrike,http://www.audubon.org/node/777,1996,1686,Northern Shrike
,Psilorhinus morio,806,17221,4629_Sibl_9780307957900_art_r1.jpg,423,Brown Jay,http://www.audubon.org/node/806,2047,1686,Brown Jay
,Cyanocorax yncas,807,17226,4624_Sibl_9780307957900_art_r1.jpg,424,Green Jay,http://www.audubon.org/node/807,1450,1686,Green Jay
,Nucifraga columbiana,810,17231,4639_Sibl_9780307957900_art_r1.jpg,425,Clarks Nutcracker,http://www.audubon.org/node/810,1511,1686,Clarks Nutcracker
,Gymnorhinus cyanocephalus,809,17236,4634_Sibl_9780307957900_art_r1.jpg,426,Pinyon Jay,http://www.audubon.org/node/809,1605,1686,Pinyon Jay
,Corvus cryptoleucus,801,17241,4654_Sibl_9780307957900_art_r1.jpg,427,Chihuahuan Raven,http://www.audubon.org/node/801,2139,1686,Chihuahuan Raven
,Corvus corax,800,17246,4647_Sibl_9780307957900_art_r1.jpg,428,Common Raven,http://www.audubon.org/node/800,2542,1686,Common Raven
,Setophaga fusca,538,17251,4661_Sibl_9780307957900_art_r1.jpg,429,Blackburnian Warbler,http://www.audubon.org/node/538,2574,1686,Blackburnian Warbler
,Setophaga cerulea,532,17256,4668_Sibl_9780307957900_art_r1.jpg,430,Cerulean Warbler,http://www.audubon.org/node/532,1851,1686,Cerulean Warbler
,Parkesia motacilla,569,17261,4676_Sibl_9780307957900_art_r1.jpg,431,Louisiana Waterthrush,http://www.audubon.org/node/569,2492,1686,Louisiana Waterthrush
,Parkesia noveboracensis,570,17266,4672_Sibl_9780307957900_art_r1.jpg,432,Northern Waterthrush,http://www.audubon.org/node/570,2657,1686,Northern Waterthrush
,Seiurus aurocapilla,567,17271,4684_Sibl_9780307957900_art_r1.jpg,433,Ovenbird,http://www.audubon.org/node/567,2665,1686,Ovenbird
,Limnothlypis swainsonii,556,17276,4680_Sibl_9780307957900_art_r1.jpg,434,Swainsons Warbler,http://www.audubon.org/node/556,2940,1686,Swainsons Warbler
,Setophaga coronata,534,17281,4692_Sibl_9780307957900_art_r1.jpg,435,Yellow-rumped Warbler,http://www.audubon.org/node/534,2007,1686,Yellow-rumped Warbler
,Oporornis agilis,560,17291,4711_Sibl_9780307957900_art_r1.jpg,436,Connecticut Warbler,http://www.audubon.org/node/560,2159,1686,Connecticut Warbler
,Geothlypis formosa,561,17296,4704_Sibl_9780307957900_art_r1.jpg,437,Kentucky Warbler,http://www.audubon.org/node/561,2366,1686,Kentucky Warbler
,Myioborus pictus,559,17301,4716_Sibl_9780307957900_art_r1.jpg,438,Painted Redstart,http://www.audubon.org/node/559,2090,1686,Painted Redstart
,Petrochelidon fulva,1115,17306,3414_Sibl_9780307957900_art_r1.jpg,439,Cave Swallow,http://www.audubon.org/node/1115,1748,1686,Cave Swallow
,Petrochelidon pyrrhonota,1116,17311,3423_Sibl_9780307957900_art_r1.jpg,440,Cliff Swallow,http://www.audubon.org/node/1116,1758,1686,Cliff Swallow
,Toxostoma redivivum,515,17316,3168_Sibl_9780307957900_art_r1.jpg,441,California Thrasher,http://www.audubon.org/node/515,3321,1686,California Thrasher
,Toxostoma crissale,510,17321,3172_Sibl_9780307957900_art_r1.jpg,442,Crissal Thrasher,http://www.audubon.org/node/510,3342,1686,Crissal Thrasher
,Phylloscopus borealis,483,17326,3177_Sibl_9780307957900_art_r1.jpg,443,Arctic Warbler,http://www.audubon.org/node/483,1761,1686,Arctic Warbler
,Piranga olivacea,588,17331,3468_Sibl_9780307957900_art_r1.jpg,444,Scarlet Tanager,http://www.audubon.org/node/588,1344,1686,Scarlet Tanager
,Piranga ludoviciana,587,17336,3465_Sibl_9780307957900_art_r1.jpg,445,Western Tanager,http://www.audubon.org/node/587,1297,1686,Western Tanager
,Setophaga graciae,539,17341,3479_Sibl_9780307957900_art_r1.jpg,446,Graces Warbler,http://www.audubon.org/node/539,2563,1686,Graces Warbler
,Setophaga dominica,537,17346,3483_Sibl_9780307957900_art_r1.jpg,447,Yellow-throated Warbler,http://www.audubon.org/node/537,2455,1686,Yellow-throated Warbler
,Spiza americana,654,17351,3493_Sibl_9780307957900_art_r1.jpg,448,Dickcissel,http://www.audubon.org/node/654,1008,1686,Dickcissel
,Sporophila torqueola,638,17356,3496_Sibl_9780307957900_art_r1.jpg,449,White-collared Seedeater,http://www.audubon.org/node/638,980,1686,White-collared Seedeater
